kernel, objects-clutter, lbp, test, iou, router, nerf, glasses, vader, brush, pig, cardboard, stand, fuse, catan, precision, recall
linear, all-all, 0, test, 0.08718836999002484, 0.1245387342286173, 0.3036246389436544, 0.0, 0.0057473512662287235, 0.06523588853856309, 0.001011816174361862, 0.15321490120681194, 0.0, 0.004890883943666526, 0.2319395608596698, 0.006, 0.023
linear, all-all, 0, validate, 0.22094512039842526, 0.1632768463612681, 0.21030152624972653, 0.34281914144796044, 0.08034305675453211, 0.13927897441571688, 0.28401929265916687, 0.4460224962548407, 0.01956437279338542, 0.15634878345401138, 0.3421880918530446, 0.013, 0.018
linear, all-all, 4, test, 0.12260831287210833, 0.06482333220826236, 0.507250976912398, 0.0, 0.005827363954852475, 0.06468572819618021, 0.00022030687530428015, 0.12355636792742009, 0.0, 0.004530506575552732, 0.2036645082390024, 0.029, 0.041
linear, all-all, 4, validate, 0.24867086160281468, 0.3445597709723516, 0.2165233767734245, 0.11200040036869571, 0.10176616734203991, 0.1334369190597457, 0.27270620771867937, 0.37879595929925686, 0.03492001435502683, 0.296527912629612, 0.4710618766361504, 0.020, 0.029
poly, all-all, 0, test, 0.1075979967009683, 0.14017669646850398, 0.416104055661884, 0.0, 0.0073916699132327394, 0.06329483008197513, 2.7098791010823747e-05, 0.07548566582886371, 0.0, 0.00456359992025663, 0.2041726096778991, 0.004, 0.021
poly, all-all, 0, validate, 0.21968813986851848, 0.22755625240322713, 0.32349518029275254, 0.09077672217798159, 0.2353246753246753, 0.09015612008036213, 0.2638348410452234, 0.32241152976850795, 0.03913578043110692, 0.12215288402179454, 0.3892694619592418, 0.013, 0.031
poly, all-all, 4, test, 0.12564761705539534, 0.1391720627833365, 0.5203228806500693, 0.0, 0.0011528682597121143, 0.08452288231918896, 0.0, 0.19450309919805742, 0.0, 0.004310411300499858, 0.20309137409355074, 0.019, 0.035
poly, all-all, 4, validate, 0.2601499758073836, 0.349710289461563, 0.16002292646450378, 0.23578391119879888, 0.18914226701071743, 0.10279784505126378, 0.36252596143764443, 0.4170846817601111, 0.046200980295539304, 0.11147243976012014, 0.4905089202845076, 0.018, 0.033
rbf, c615-c615, 0, test, 0.08481831745067772, 0.142850827711499, 0.23682210268345566, 0.0, 0.005174710548274516, 0.07885082954527986, 0.001009690200522882, 0.037421059677749655, 0.0, 0.0018879189473546604, 0.1697695161094242, 0.002, 0.007
rbf, c615-c615, 0, validate, 0.2205201073318273, 0.13483980039002538, 0.41543074164511673, 0.2272867761461101, 0.14736111402749247, 0.10359696520100593, 0.4349874130686555, 0.23157039067495386, 0.05320984211103529, 0.13114266049522852, 0.4236272851225669, 0.013, 0.028
rbf, c615-mobi, 0, test, 0.06675999799015578, 0.09676119651032442, 0.1754891502568188, 0.0, 0.000323746873017207, 0.028331698916221355, 0.0, 0.09601329513525314, 0.0, 0.007327712354031966, 0.1705911065333066, 0.001, 0.005
rbf, c615-mobi, 0, validate, 0.25579986783387615, 0.32003725384418, 0.22547386083336526, 0.05211750767827485, 0.13513179050002064, 0.21331942682799335, 0.29126400465624025, 0.36566135877797024, 0.07962971764712462, 0.24058784085376436, 0.42294416621385833, 0.007, 0.022
rbf, mobi-c615, 0, test, 0.03885270357854103, 0.051673065937238014, 0.006540333884753111, 0.0, 0.00361013988124539, 0.06198292284261205, 0.001850657994242436, 0.12419453469742703, 0.0, 0.005273566101177931, 0.19316253608247339, 0.001, 0.007
rbf, mobi-c615, 0, validate, 0.2727881475340256, 0.19469213704733682, 0.3779578665934676, 0.22679024706870762, 0.12819131824177235, 0.09890239009746314, 0.307233366060277, 0.39913305008118943, 0.055908617329194214, 0.23105602234940545, 0.4872664312568826, 0.019, 0.032
rbf, mobi-mobi, 0, test, 0.09259861644962078, 0.017400413009812262, 0.2680909733968816, 0.0, 0.0013555483231515281, 0.045720763752298166, 0.0, 0.32610464997890787, 0.0, 0.0051861198444389306, 0.20955640278162005, 0.007, 0.024
rbf, mobi-mobi, 0, validate, 0.2849171443281563, 0.3141060066299832, 0.22227771815307537, 0.26485155380159353, 0.1728638592553609, 0.06794714684182261, 0.3768301128365714, 0.5013365043262163, 0.058908607754629125, 0.1626991402010308, 0.48172174464984646, 0.014, 0.031
rbf, all-all, 0, test, 0.11583656097745643, 0.1503588970962888, 0.39942951524867465, 0.0, 0.00464094600706666, 0.0571806678096284, 0.00023087233407994738, 0.12600002687734424, 0.0, 0.004658772462787922, 0.26467856354656216, 0.008, 0.029
rbf, all-all, 0, validate, 0.28718222350121053, 0.44555278910283336, 0.38701511921559706, 0.26109853677197237, 0.04558406064482704, 0.05391087481514012, 0.24309061181947444, 0.40609659833440415, 0.024713225308767458, 0.12645965474031434, 0.49209207683695416, 0.017, 0.031
rbf, all-all, 1, test, 0.0892563179477878, 0.09623607034727741, 0.38334447365700663, 0.0, 0.0034092017954788193, 0.08907233674473672, 0.0008346263324292486, 0.18198396084936166, 0.0, 0.004976805355762326, 0.1311612321770485, 0.004, 0.020
